3	599718587
5	583622844
7	561181813
9	552405030
11	555162411
13	577964567
15	586811379
17	585260940
19	608395825
21	606248283
23	606794183
25	631083270
27	649472410
29	656050201
31	647258600
33	662613831
35	671076934
37	681851840
39	694210958
41	710520045
43	709870791
45	720578706
47	727495560
49	747353055
51	757662903

3	646946362
5	599074680
7	602335709
9	589023924
11	554785887
13	576400889
15	566047716
17	576424381
19	585571796
21	589726497
23	601376125
25	608491977
27	623917273
29	631072328
31	637252187
33	644688759
35	658543392
37	663537234
39	672716407
41	686688951
43	698336138
45	708616595
47	713875813
49	723402168
51	734979635
